label,message
spam,"Your loan request is pre-approved up to $1,000. Apply now with instant confirmation."
spam,Win cash today! Text WIN to 2965 and get entered in the grand draw.
ham,Your appointment is confirmed for Monday at 9 AM. Please arrive 10 minutes early.
spam,Limited time offer! Get 80% off on premium membership. Act before midnight.
spam,Win cash today! Text WIN to 4587 and get entered in the grand draw.
ham,Reminder: our class presentation is scheduled for Tuesday at 9 AM. Check your inbox for details.
ham,Your appointment is confirmed for Saturday at 4:15 PM. Please arrive 10 minutes early.
spam,"Exclusive deal just for you: earn Rs 100,000 from home with no experience required. Thank you."
ham,"Hi Ahmed, can we meet tomorrow at 2 PM to discuss the project?"
ham,Your appointment is confirmed for Wednesday at 6 PM. Please arrive 10 minutes early.
spam,You are our lucky winner for a smartwatch. Send your code 7839 to receive it.
spam,"Congratulations Ahmed, you have won a free iPhone. Claim your reward now by replying YES. Please respond soon."
spam,Win cash today! Text WIN to 5019 and get entered in the grand draw.
spam,"Your loan request is pre-approved up to Rs 100,000. Apply now with instant confirmation. This message is important."
spam,Limited time offer! Get 60% off on premium membership. Act before midnight. Please respond soon.
ham,"Hi Fatima, can we meet tomorrow at 4:15 PM to discuss the project? Please respond soon."
spam,Win cash today! Text WIN to 4695 and get entered in the grand draw.
spam,"Dear user, your package delivery is pending. Pay a small fee to release shipment. This message is important."
spam,"Congratulations Usman, you have won a cash reward. Claim your reward now by replying YES."
ham,Your appointment is confirmed for Wednesday at 9 AM. Please arrive 10 minutes early.
spam,You are our lucky winner for a holiday package. Send your code 3286 to receive it.
spam,"Your loan request is pre-approved up to $5,000. Apply now with instant confirmation. Check your inbox for details."
ham,"Hi Ali, can we meet tomorrow at 6 PM to discuss the project?"
ham,Please find the meeting notes attached and share your feedback when possible. Check your inbox for details.
spam,You are our lucky winner for a holiday package. Send your code 4900 to receive it.
spam,"Exclusive deal just for you: earn Rs 100,000 from home with no experience required."
ham,Thanks for your help today. I will send the updated file by evening.
ham,Reminder: our class presentation is scheduled for Thursday at 2 PM.
ham,The client requested a few changes in the design. I will explain during the call. Let me know.
ham,Happy birthday Bilal! Hope you have a great day. Let me know.
spam,"Congratulations Ali, you have won a free iPhone. Claim your reward now by replying YES."
ham,"Hi Usman, can we meet tomorrow at 4:15 PM to discuss the project? Thank you."
spam,Win cash today! Text WIN to 6312 and get entered in the grand draw.
spam,Your loan request is pre-approved up to $500. Apply now with instant confirmation. Thank you.
ham,Reminder: our class presentation is scheduled for Wednesday at 9 AM.
ham,"Hi Hassan, can we meet tomorrow at 9 AM to discuss the project? Please respond soon."
spam,You are our lucky winner for a cash reward. Send your code 8552 to receive it. Check your inbox for details.
spam,"Congratulations! You qualify for a government relief payment of $1,000. Register now. This message is important."
ham,Your appointment is confirmed for Wednesday at 6 PM. Please arrive 10 minutes early. This message is important.
ham,Your appointment is confirmed for Friday at 4:15 PM. Please arrive 10 minutes early. Let me know.
spam,Congratulations! You qualify for a government relief payment of $500. Register now. Let me know.
ham,Reminder: our class presentation is scheduled for Saturday at 4:15 PM. Thank you.
ham,Reminder: our class presentation is scheduled for Monday at 2 PM. Check your inbox for details.
spam,Win cash today! Text WIN to 7808 and get entered in the grand draw. Please respond soon.
ham,I am working on the dataset cleaning part and will finish it by tonight. Please respond soon.
ham,"Hi Ahmed, can we meet tomorrow at 6 PM to discuss the project?"
ham,The team meeting has been moved to Tuesday. Please confirm your availability. Check your inbox for details.
ham,"Hi Usman, can we meet tomorrow at 2 PM to discuss the project? Check your inbox for details."
spam,"URGENT: Your account has been selected for a Rs 100,000 bonus. Confirm your details today. Thank you."
ham,Reminder: our class presentation is scheduled for Thursday at 12 PM.
spam,"Congratulations Fatima, you have won a free iPhone. Claim your reward now by replying YES. Please respond soon."
spam,Win cash today! Text WIN to 2198 and get entered in the grand draw. This message is important.
ham,Your appointment is confirmed for Monday at 6 PM. Please arrive 10 minutes early. Thank you.
ham,Your appointment is confirmed for Thursday at 2 PM. Please arrive 10 minutes early. Thank you.
spam,You are our lucky winner for a holiday package. Send your code 1145 to receive it. Please respond soon.
ham,Thanks for your help today. I will send the updated file by evening. Check your inbox for details.
spam,"Your loan request is pre-approved up to Rs 50,000. Apply now with instant confirmation. Check your inbox for details."
spam,"Exclusive deal just for you: earn $5,000 from home with no experience required. This message is important."
spam,"Your loan request is pre-approved up to $5,000. Apply now with instant confirmation. Let me know."
ham,I am working on the dataset cleaning part and will finish it by tonight. This message is important.
spam,You are our lucky winner for a shopping voucher. Send your code 8327 to receive it. Check your inbox for details.
ham,Reminder: our class presentation is scheduled for Tuesday at 10:30 AM. Check your inbox for details.
ham,Happy birthday Ali! Hope you have a great day. Let me know.
spam,"Congratulations Ali, you have won a smartwatch. Claim your reward now by replying YES."
ham,Your appointment is confirmed for Thursday at 6 PM. Please arrive 10 minutes early.
spam,Win cash today! Text WIN to 8606 and get entered in the grand draw.
spam,"Congratulations Ayesha, you have won a free iPhone. Claim your reward now by replying YES."
spam,You are our lucky winner for a gift card. Send your code 7801 to receive it.
ham,Happy birthday Ayesha! Hope you have a great day. Let me know.
ham,Please bring your laptop for tomorrow's lab session. This message is important.
ham,"Hi Ahmed, can we meet tomorrow at 9 AM to discuss the project?"
ham,Reminder: our class presentation is scheduled for Friday at 4:15 PM. Please respond soon.
spam,"Congratulations Noor, you have won a holiday package. Claim your reward now by replying YES."
spam,"URGENT: Your account has been selected for a $1,000 bonus. Confirm your details today. This message is important."
ham,"I will be late due to traffic, but I should reach in about 20 minutes. Check your inbox for details."
spam,"Congratulations Usman, you have won a laptop. Claim your reward now by replying YES. Check your inbox for details."
spam,Win cash today! Text WIN to 6417 and get entered in the grand draw. Thank you.
spam,Important security notice: confirm your identity or your account will be locked. Thank you.
ham,"Hi Bilal, can we meet tomorrow at 10:30 AM to discuss the project? This message is important."
spam,"Exclusive deal just for you: earn $2,500 from home with no experience required. This message is important."
spam,"Congratulations! You qualify for a government relief payment of $5,000. Register now. Let me know."
spam,"URGENT: Your account has been selected for a $5,000 bonus. Confirm your details today. Let me know."
ham,Reminder: our class presentation is scheduled for Monday at 12 PM.
spam,You are our lucky winner for a free iPhone. Send your code 2523 to receive it.
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension. This message is important.
ham,Reminder: our class presentation is scheduled for Wednesday at 10:30 AM. Please respond soon.
ham,Reminder: our class presentation is scheduled for Tuesday at 9 AM.
ham,The invoice has been received and forwarded to the finance department. This message is important.
spam,"Congratulations Ali, you have won a gift card. Claim your reward now by replying YES. Let me know."
spam,"Your loan request is pre-approved up to $1,000. Apply now with instant confirmation. Please respond soon."
ham,Let's have lunch after the lecture if you are free.
ham,Your appointment is confirmed for Thursday at 9 AM. Please arrive 10 minutes early. Thank you.
ham,Reminder: our class presentation is scheduled for Tuesday at 6 PM.
spam,Exclusive deal just for you: earn $500 from home with no experience required. Let me know.
ham,"Hi Hassan, can we meet tomorrow at 9 AM to discuss the project? Let me know."
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required. Thank you."
ham,"Hi Noor, can we meet tomorrow at 10:30 AM to discuss the project?"
ham,Happy birthday Ahmed! Hope you have a great day. Thank you.
ham,The team meeting has been moved to Thursday. Please confirm your availability. Thank you.
spam,"Exclusive deal just for you: earn Rs 100,000 from home with no experience required. Let me know."
ham,Reminder: our class presentation is scheduled for Friday at 6 PM. This message is important.
spam,You are our lucky winner for a free iPhone. Send your code 4600 to receive it.
spam,"Congratulations! You qualify for a government relief payment of Rs 50,000. Register now. Please respond soon."
ham,"Hi Noor, can we meet tomorrow at 12 PM to discuss the project? This message is important."
spam,Win cash today! Text WIN to 2819 and get entered in the grand draw.
spam,"URGENT: Your account has been selected for a $2,500 bonus. Confirm your details today. Let me know."
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today. Thank you.
spam,"Your loan request is pre-approved up to Rs 50,000. Apply now with instant confirmation. Thank you."
ham,Happy birthday Fatima! Hope you have a great day. Check your inbox for details.
ham,"I will be late due to traffic, but I should reach in about 20 minutes."
spam,"Congratulations! You qualify for a government relief payment of Rs 50,000. Register now. This message is important."
spam,You are our lucky winner for a cash reward. Send your code 8397 to receive it.
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today. This message is important.
spam,You are our lucky winner for a laptop. Send your code 6298 to receive it. Thank you.
ham,"Hi Zara, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,Limited time offer! Get 90% off on premium membership. Act before midnight. Check your inbox for details.
spam,Limited time offer! Get 90% off on premium membership. Act before midnight. Thank you.
ham,Could you send me the notes from yesterday's NLP lecture? Thank you.
ham,Reminder: our class presentation is scheduled for Thursday at 12 PM. Thank you.
ham,We need to test the model again after changing the vectorizer settings. This message is important.
ham,The password for the lab computer has been updated by the admin team. Please respond soon.
ham,"Hi Sara, can we meet tomorrow at 10:30 AM to discuss the project? Thank you."
ham,The team meeting has been moved to Thursday. Please confirm your availability. Please respond soon.
spam,You are our lucky winner for a tablet. Send your code 8925 to receive it. Please respond soon.
ham,Your appointment is confirmed for Wednesday at 4:15 PM. Please arrive 10 minutes early. This message is important.
spam,You have been nominated for a cash prize. Reply with your full name to proceed. Check your inbox for details.
spam,Win cash today! Text WIN to 2218 and get entered in the grand draw. Thank you.
ham,"Hi Hassan, can we meet tomorrow at 10:30 AM to discuss the project? This message is important."
spam,Win cash today! Text WIN to 6054 and get entered in the grand draw. Please respond soon.
ham,Happy birthday Sara! Hope you have a great day.
ham,Happy birthday Usman! Hope you have a great day. Please respond soon.
ham,Your order has been delivered successfully. Thank you for shopping with us.
spam,Limited time offer! Get 80% off on premium membership. Act before midnight. This message is important.
ham,"Hi Ahmed, can we meet tomorrow at 10:30 AM to discuss the project?"
ham,Reminder: our class presentation is scheduled for Wednesday at 6 PM. Check your inbox for details.
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now."
ham,Reminder: our class presentation is scheduled for Friday at 2 PM.
ham,Reminder: our class presentation is scheduled for Friday at 2 PM. Please respond soon.
ham,Your appointment is confirmed for Tuesday at 12 PM. Please arrive 10 minutes early.
ham,Reminder: our class presentation is scheduled for Friday at 4:15 PM. This message is important.
spam,"Congratulations Ayesha, you have won a smartwatch. Claim your reward now by replying YES."
ham,Reminder: our class presentation is scheduled for Friday at 10:30 AM. Thank you.
ham,The team meeting has been moved to Saturday. Please confirm your availability. Thank you.
ham,Reminder: our class presentation is scheduled for Saturday at 10:30 AM. Let me know.
spam,Win cash today! Text WIN to 1232 and get entered in the grand draw.
spam,You are our lucky winner for a gift card. Send your code 8620 to receive it.
ham,Your appointment is confirmed for Monday at 12 PM. Please arrive 10 minutes early. Let me know.
ham,Happy birthday Noor! Hope you have a great day.
ham,"Hi Noor, can we meet tomorrow at 9 AM to discuss the project? Let me know."
ham,"Hi Ali, can we meet tomorrow at 6 PM to discuss the project? Let me know."
spam,URGENT: Your account has been selected for a $500 bonus. Confirm your details today. Check your inbox for details.
spam,Alert: unusual login attempt detected. Update your password immediately to secure account. Thank you.
spam,"Congratulations Fatima, you have won a free iPhone. Claim your reward now by replying YES. This message is important."
ham,The team meeting has been moved to Wednesday. Please confirm your availability. Check your inbox for details.
ham,Let's have lunch after the lecture if you are free. Please respond soon.
ham,Please bring your laptop for tomorrow's lab session. Check your inbox for details.
spam,Win cash today! Text WIN to 6307 and get entered in the grand draw.
ham,I have completed the first draft of the report and uploaded it to the shared folder. This message is important.
ham,"Hi Noor, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,"Congratulations! You qualify for a government relief payment of Rs 50,000. Register now. Check your inbox for details."
ham,Reminder: our class presentation is scheduled for Saturday at 4:15 PM. This message is important.
ham,Your appointment is confirmed for Friday at 12 PM. Please arrive 10 minutes early.
spam,"Your loan request is pre-approved up to Rs 100,000. Apply now with instant confirmation."
spam,Win cash today! Text WIN to 2028 and get entered in the grand draw.
ham,Reminder: our class presentation is scheduled for Wednesday at 9 AM. Let me know.
spam,You are our lucky winner for a free iPhone. Send your code 3147 to receive it. Please respond soon.
spam,"URGENT: Your account has been selected for a $2,500 bonus. Confirm your details today. Thank you."
ham,Reminder: our class presentation is scheduled for Thursday at 9 AM.
ham,"Hi Ayesha, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,"Exclusive deal just for you: earn Rs 50,000 from home with no experience required."
ham,Happy birthday Usman! Hope you have a great day. Thank you.
ham,"Hi Fatima, can we meet tomorrow at 12 PM to discuss the project? Let me know."
spam,Win cash today! Text WIN to 6757 and get entered in the grand draw.
spam,Final notice: Your mailbox storage is full. Verify your account to avoid suspension. Check your inbox for details.
ham,"Hi Usman, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,"Your loan request is pre-approved up to Rs 50,000. Apply now with instant confirmation. This message is important."
ham,Reminder: our class presentation is scheduled for Saturday at 9 AM.
spam,Win cash today! Text WIN to 9248 and get entered in the grand draw.
spam,You are our lucky winner for a smartwatch. Send your code 4215 to receive it. Please respond soon.
spam,You are our lucky winner for a smartwatch. Send your code 5554 to receive it.
spam,You are our lucky winner for a gift card. Send your code 3434 to receive it.
ham,"I will be late due to traffic, but I should reach in about 20 minutes. Thank you."
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now. Let me know."
ham,"Hi Fatima, can we meet tomorrow at 9 AM to discuss the project? Check your inbox for details."
spam,URGENT: Your account has been selected for a $500 bonus. Confirm your details today. This message is important.
spam,Win cash today! Text WIN to 1092 and get entered in the grand draw.
spam,"Congratulations Ali, you have won a gift card. Claim your reward now by replying YES. Please respond soon."
spam,"Exclusive deal just for you: earn $1,000 from home with no experience required. Check your inbox for details."
spam,You are our lucky winner for a smartwatch. Send your code 6477 to receive it. Please respond soon.
ham,Happy birthday Sara! Hope you have a great day. This message is important.
ham,"Hi Sara, can we meet tomorrow at 12 PM to discuss the project? Thank you."
ham,"Hi Hassan, can we meet tomorrow at 2 PM to discuss the project? Thank you."
ham,Reminder: our class presentation is scheduled for Friday at 4:15 PM.
ham,"Hi Fatima, can we meet tomorrow at 6 PM to discuss the project? Check your inbox for details."
ham,Your appointment is confirmed for Friday at 6 PM. Please arrive 10 minutes early.
ham,Your appointment is confirmed for Thursday at 10:30 AM. Please arrive 10 minutes early. This message is important.
ham,"Hi Sara, can we meet tomorrow at 12 PM to discuss the project? Check your inbox for details."
spam,Your ATM card has been blocked. Submit verification to reactivate immediately. This message is important.
spam,You are our lucky winner for a free iPhone. Send your code 1685 to receive it.
ham,Your appointment is confirmed for Tuesday at 4:15 PM. Please arrive 10 minutes early.
ham,Reminder: our class presentation is scheduled for Saturday at 2 PM. This message is important.
ham,"Hi Zara, can we meet tomorrow at 4:15 PM to discuss the project? Check your inbox for details."
spam,"Congratulations Noor, you have won a free iPhone. Claim your reward now by replying YES."
spam,"Congratulations Usman, you have won a shopping voucher. Claim your reward now by replying YES. Please respond soon."
spam,You are our lucky winner for a gift card. Send your code 3509 to receive it. Please respond soon.
ham,Happy birthday Hassan! Hope you have a great day.
ham,Reminder: our class presentation is scheduled for Thursday at 4:15 PM. This message is important.
spam,"URGENT: Your account has been selected for a Rs 50,000 bonus. Confirm your details today. Check your inbox for details."
ham,The team meeting has been moved to Monday. Please confirm your availability. Please respond soon.
spam,You are our lucky winner for a shopping voucher. Send your code 5064 to receive it. This message is important.
ham,"Hi Zara, can we meet tomorrow at 12 PM to discuss the project?"
spam,Hot deal: buy one get one free on luxury items. Offer expires soon. Thank you.
spam,"Congratulations Ali, you have won a gift card. Claim your reward now by replying YES. This message is important."
